RSSI_5meters;RSSI_10meters;RSSI_15meters;RSSI_20meters;RSSI_25meters;RSSI_30meters;RSSI_35meters;RSSI_40meters
-54;-68;-68;-59;-59;-65;-64;-66
-53;-68;-68;-60;-59;-67;-64;-66
-53;-68;-68;-60;-59;-67;-64;-66
-53;-68;-68;-59;-59;-67;-64;-66
-52;-69;-68;-53;-59;-68;-65;-66
-52;-68;-68;-60;-59;-65;-63;-66
-49;-68;-68;-60;-59;-68;-65;-66
-52;-68;-68;-59;-59;-67;-63;-66
-52;-68;-68;-59;-59;-68;-65;-66
-52;-69;-68;-60;-58;-68;-63;-66
-53;-66;-68;-59;-58;-68;-64;-66
-52;-69;-68;-59;-59;-68;-64;-66
-52;-69;-65;-59;-58;-67;-64;-67
-52;-69;-68;-60;-59;-67;-64;-66
-52;-68;-68;-60;-59;-67;-64;-64
-53;-68;-68;-60;-59;-68;-64;-65
-49;-69;-68;-60;-59;-68;-64;-65
-52;-69;-67;-60;-59;-65;-64;-65
-51;-69;-68;-60;-59;-65;-64;-63
-52;-69;-68;-60;-59;-68;-64;-80
-51;-68;-68;-59;-59;-65;-65;-75
-53;-68;-68;-60;-59;-65;-64;-67
-53;-68;-65;-60;-56;-68;-64;-67
-53;-68;-68;-60;-59;-67;-64;-68
-53;-68;-68;-60;-59;-65;-64;-65
-53;-68;-68;-60;-59;-68;-64;-65
-53;-69;-66;-60;-59;-68;-64;-65
-53;-68;-68;-60;-59;-68;-64;-64
-53;-68;-68;-60;-59;-68;-64;-65
-53;-68;-66;-60;-59;-68;-64;-64
-53;-68;-68;-60;-59;-68;-64;-65
-53;-68;-66;-53;-59;-67;-64;-65
-53;-68;-68;-60;-58;-67;-64;-63
-53;-70;-69;-60;-59;-67;-64;-64
-53;-68;-68;-60;-59;-68;-64;-64
-53;-68;-68;-60;-56;-68;-64;-64
-53;-69;-68;-60;-59;-68;-64;-64
-53;-68;-69;-60;-58;-68;-64;-64
-53;-68;-68;-60;-59;-68;-64;-64
-53;-68;-68;-60;-59;-68;-64;-64
-52;-68;-69;-60;-59;-68;-64;-65
-53;-68;-68;-60;-59;-68;-64;-69
-53;-68;-69;-60;-59;-68;-66;-68
-53;-69;-67;-60;-59;-68;-65;-65
-53;-68;-68;-60;-59;-68;-69;-69
-53;-68;-69;-60;-59;-68;-65;-68
-53;-68;-68;-60;-59;-67;-65;-67
-53;-69;-68;-60;-59;-67;-65;-67
-53;-68;-65;-60;-59;-67;-65;-69
-53;-68;-68;-60;-59;-67;-65;-67
-52;-68;-68;-60;-59;-67;-65;-67
-53;-68;-68;-60;-59;-67;-65;-66
-53;-68;-68;-60;-59;-67;-65;-66
-53;-68;-65;-60;-59;-67;-65;-68
-53;-68;-68;-60;-59;-67;-65;-68
-53;-69;-68;-60;-59;-67;-65;-66
-50;-68;-67;-60;-59;-65;-66;-66
-53;-68;-68;-59;-59;-67;-65;-70
-53;-68;-65;-60;-59;-68;-66;-69
-53;-65;-67;-60;-59;-67;-65;-66
-53;-68;-65;-60;-58;-67;-65;-66
-53;-68;-65;-59;-59;-68;-65;-69
-53;-69;-68;-59;-59;-68;-66;-69
-53;-68;-68;-60;-59;-68;-66;-67
-53;-68;-68;-60;-59;-68;-65;-69
-53;-68;-68;-59;-59;-65;-65;-69
-53;-65;-68;-59;-59;-65;-65;-66
-53;-68;-68;-59;-74;-68;-66;-67
-53;-68;-68;-60;-59;-68;-66;-70
-53;-69;-68;-60;-53;-68;-66;-67
-52;-68;-66;-59;-59;-67;-63;-69
-53;-68;-68;-59;-59;-67;-65;-67
-53;-68;-69;-60;-59;-68;-65;-69
-53;-68;-66;-60;-59;-68;-65;-69
-52;-68;-68;-60;-59;-68;-65;-69
-52;-68;-68;-60;-59;-67;-65;-66
-52;-68;-68;-60;-59;-68;-66;-69
-53;-68;-68;-59;-59;-68;-66;-67
-53;-68;-66;-60;-59;-68;-65;-69
-53;-68;-66;-60;-59;-68;-66;-69
-53;-68;-65;-60;-59;-66;-66;-71
-53;-68;-65;-60;-59;-68;-64;-68
-50;-68;-68;-60;-59;-68;-65;-69
-53;-68;-66;-60;-59;-68;-65;-68
-53;-68;-68;-59;-59;-68;-65;-71
-53;-69;-65;-60;-59;-68;-65;-68
-53;-65;-65;-60;-59;-68;-65;-71
-53;-68;-68;-60;-59;-65;-65;-71
-53;-65;-67;-60;-59;-68;-65;-71
-53;-68;-68;-60;-59;-68;-65;-70
-52;-68;-67;-60;-59;-68;-65;-68
-52;-68;-68;-60;-59;-65;-65;-67
-53;-68;-68;-60;-59;-65;-65;-68
-53;-68;-68;-60;-59;-67;-65;-68
-53;-68;-69;-60;-59;-67;-65;-67
-53;-68;-68;-60;-59;-67;-65;-68
-53;-69;-68;-60;-59;-68;-65;-67
-53;-69;-68;-60;-59;-68;-65;-71
-53;-68;-68;-60;-59;-68;-65;-71
-53;-68;-68;-60;-58;-68;-65;-71
-50;-68;-69;-60;-58;-68;-65;-71
-53;-68;-68;-60;-59;-68;-65;-71
-53;-69;-68;-60;-59;-68;-65;-68
-52;-68;-74;-60;-59;-68;-65;-71
-53;-69;-65;-60;-59;-68;-65;-68
-52;-68;-68;-60;-59;-67;-65;-72
-52;-68;-69;-60;-59;-68;-65;-68
-53;-68;-69;-60;-59;-68;-65;-72
-53;-68;-69;-60;-59;-68;-65;-71
-53;-68;-66;-60;-59;-68;-65;-69
-53;-68;-66;-60;-59;-68;-65;-68
-53;-68;-68;-60;-59;-68;-65;-71
-53;-68;-65;-59;-59;-68;-65;-71
-53;-68;-68;-60;-59;-68;-65;-71
-53;-68;-68;-60;-59;-68;-65;-72
-53;-68;-67;-60;-59;-68;-65;-71
-53;-68;-68;-60;-59;-68;-65;-68
-53;-68;-65;-60;-59;-68;-65;-71
-53;-69;-68;-60;-59;-68;-65;-67
-53;-68;-67;-60;-59;-68;-65;-70
-53;-69;-65;-60;-59;-68;-65;-68
-53;-68;-67;-60;-59;-67;-65;-68
-53;-66;-66;-60;-59;-68;-65;-67
-53;-68;-68;-60;-56;-67;-65;-67
-53;-68;-67;-60;-59;-68;-65;-68
-52;-68;-68;-60;-59;-68;-65;-68
-53;-68;-68;-60;-59;-68;-65;-68
-53;-68;-68;-60;-59;-67;-65;-68
-53;-68;-68;-60;-72;-67;-65;-70
-53;-68;-68;-60;-59;-67;-65;-67
-53;-69;-68;-60;-59;-67;-65;-68
-53;-68;-69;-74;-59;-67;-65;-67
-53;-68;-64;-60;-59;-68;-65;-68
-53;-68;-68;-60;-59;-67;-65;-72
-53;-69;-65;-60;-59;-65;-65;-71
-53;-69;-68;-60;-59;-68;-65;-68
-53;-69;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-65;-68
-53;-68;-68;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-67;-65;-68
-53;-68;-67;-60;-59;-68;-65;-68
-53;-68;-67;-60;-59;-65;-65;-71
-53;-65;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-65;-71
-53;-69;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-67;-65;-71
-53;-68;-67;-60;-59;-68;-65;-69
-52;-68;-67;-60;-59;-68;-65;-71
-53;-68;-67;-60;-59;-67;-66;-72
-53;-69;-67;-60;-56;-68;-66;-71
-53;-68;-67;-59;-59;-68;-65;-71
-53;-68;-67;-60;-59;-68;-66;-68
-53;-68;-67;-60;-59;-68;-66;-72
-53;-69;-65;-60;-59;-65;-65;-72
-53;-68;-65;-60;-59;-68;-65;-71
-50;-68;-67;-60;-59;-68;-65;-72
