timestamp;position_id;client_id;rssi;snr;mcs;tx_retries
1773178697;9;1;-53;27;7;0
1773178698;9;1;-53;27;7;0
1773178699;9;1;-52;27;7;0
1773178701;9;1;-53;27;7;0
1773178702;9;1;-53;27;7;0
1773178704;9;1;-52;27;7;0
1773178705;9;1;-52;28;7;0
1773178706;9;1;-52;28;7;0
1773178708;9;1;-52;27;7;0
1773178709;9;1;-53;27;7;0
1773178711;9;1;-52;28;7;0
1773178712;9;1;-52;27;7;0
1773178713;9;1;-53;28;7;0
1773178715;9;1;-53;28;7;2
1773178716;9;1;-53;27;7;2
1773178717;9;1;-53;28;7;2
1773178719;9;1;-52;28;7;2
1773178720;9;1;-53;27;7;2
1773178722;9;1;-52;27;7;2
1773178723;9;1;-53;27;7;2
1773178724;9;1;-53;28;7;2
1773178726;9;1;-53;28;7;2
1773178727;9;1;-53;27;7;2
1773178728;9;1;-53;27;7;2
1773178730;9;1;-53;27;7;2
1773178731;9;1;-52;27;7;2
1773178733;9;1;-53;27;7;2
1773178734;9;1;-52;28;7;2
1773178735;9;1;-53;27;7;2
1773178737;9;1;-53;27;7;2
1773178738;9;1;-53;26;7;2
1773178740;9;1;-52;27;7;2
1773178741;9;1;-53;27;7;2
1773178742;9;1;-53;27;7;2
1773178744;9;1;-53;27;7;2
1773178745;9;1;-53;28;7;5
1773178746;9;1;-53;27;7;5
1773178748;9;1;-53;27;7;5
1773178749;9;1;-53;27;10;5
1773178751;9;1;-53;27;10;5
1773178752;9;1;-53;27;10;5
1773178753;9;1;-53;27;10;5
1773178755;9;1;-53;27;10;5
1773178756;9;1;-53;27;10;5
1773178757;9;1;-53;27;10;5
1773178759;9;1;-53;27;10;5
1773178760;9;1;-53;27;10;5
1773178762;9;1;-53;27;10;5
1773178763;9;1;-53;27;10;5
1773178764;9;1;-53;27;10;5
1773178766;9;1;-53;27;10;5
1773178767;9;1;-53;27;10;5
1773178769;9;1;-53;27;10;5
1773178770;9;1;-53;27;10;5
1773178771;9;1;-53;27;10;5
1773178773;9;1;-53;27;10;5
1773178774;9;1;-53;27;10;5
1773178775;9;1;-53;28;7;6
1773178777;9;1;-53;27;7;6
1773178778;9;1;-53;26;7;6
1773178780;9;1;-53;27;7;6
1773178781;9;1;-53;27;10;6
1773178782;9;1;-53;27;10;6
1773178784;9;1;-53;27;10;6
