timestamp;position_id;client_id;rssi;snr;mcs;tx_retries
1773177679;8;1;-53;27;7;0
1773177681;8;1;-54;27;7;0
1773177682;8;1;-53;27;7;0
1773177685;8;1;-53;27;7;0
1773177686;8;1;-54;26;7;0
1773177687;8;1;-54;27;7;0
1773177689;8;1;-55;26;7;0
1773177690;8;1;-54;26;7;0
1773177692;8;1;-54;27;7;0
1773177693;8;1;-54;26;7;0
1773177694;8;1;-53;26;7;0
1773177696;8;1;-54;26;7;0
1773177697;8;1;-56;27;7;2
1773177698;8;1;-55;27;7;2
1773177700;8;1;-55;27;7;2
1773177701;8;1;-54;27;7;2
1773177703;8;1;-54;27;7;2
1773177704;8;1;-55;27;7;2
1773177705;8;1;-54;27;7;2
1773177707;8;1;-54;27;7;2
1773177708;8;1;-54;27;7;2
1773177710;8;1;-54;27;7;2
1773177711;8;1;-54;27;7;2
1773177712;8;1;-54;27;7;2
1773177714;8;1;-54;27;7;2
1773177715;8;1;-53;26;7;2
1773177716;8;1;-53;27;7;2
1773177718;8;1;-54;27;7;2
1773177719;8;1;-55;26;7;2
1773177721;8;1;-54;27;7;2
1773177722;8;1;-53;27;7;2
1773177723;8;1;-53;26;7;2
1773177725;8;1;-54;27;7;2
1773177726;8;1;-53;27;7;2
1773177727;8;1;-56;27;7;7
1773177729;8;1;-54;27;7;7
1773177730;8;1;-54;27;7;7
1773177732;8;1;-55;27;7;7
1773177733;8;1;-53;27;10;7
1773177734;8;1;-54;27;10;7
1773177736;8;1;-55;27;10;7
1773177737;8;1;-54;27;10;7
1773177738;8;1;-54;27;10;7
1773177740;8;1;-55;26;10;7
1773177741;8;1;-54;27;10;7
1773177743;8;1;-54;26;10;7
1773177744;8;1;-55;27;10;7
1773177745;8;1;-55;27;10;7
1773177747;8;1;-54;27;10;7
1773177748;8;1;-54;27;10;7
1773177750;8;1;-54;27;10;7
1773177751;8;1;-54;27;10;7
1773177752;8;1;-54;27;10;7
1773177754;8;1;-55;27;10;7
1773177755;8;1;-54;27;10;7
1773177756;8;1;-54;26;10;7
1773177758;8;1;-56;27;7;12
1773177759;8;1;-55;26;7;12
1773177761;8;1;-55;27;7;12
1773177762;8;1;-54;27;7;12
1773177763;8;1;-55;26;7;12
1773177765;8;1;-54;26;7;12
1773177766;8;1;-54;27;7;12
1773177767;8;1;-54;27;7;12
1773177769;8;1;-55;27;7;12
1773177770;8;1;-54;27;7;12
1773177772;8;1;-53;27;7;12
1773177773;8;1;-54;27;7;12
1773177774;8;1;-54;27;7;12
1773177776;8;1;-54;27;7;12
1773177777;8;1;-55;27;7;12
1773177779;8;1;-55;27;7;12
1773177780;8;1;-54;26;7;12
1773177781;8;1;-54;27;7;12
1773177783;8;1;-54;27;7;12
