timestamp;position_id;client_id;rssi;snr;mcs;tx_retries
1773179943;7;1;-50;28;7;0
1773179945;7;1;-49;28;7;0
1773179946;7;1;-49;28;7;0
1773179947;7;1;-48;28;7;0
1773179949;7;1;-48;28;7;0
1773179950;7;1;-48;28;7;0
1773179951;7;1;-49;28;7;0
1773179953;7;1;-49;28;7;0
1773179954;7;1;-50;28;7;0
1773179956;7;1;-48;28;7;0
1773179957;7;1;-48;28;7;0
1773179958;7;1;-48;28;7;0
1773179960;7;1;-48;28;7;0
1773179961;7;1;-48;28;7;0
1773179963;7;1;-48;28;7;0
1773179964;7;1;-48;28;7;0
1773179965;7;1;-48;28;7;0
1773179967;7;1;-47;28;7;0
1773179968;7;1;-50;27;7;4
1773179969;7;1;-48;28;7;4
1773179971;7;1;-48;28;7;4
1773179972;7;1;-48;28;7;4
1773179974;7;1;-49;28;10;4
1773179975;7;1;-48;28;10;4
1773179976;7;1;-48;28;10;4
1773179978;7;1;-49;28;10;4
1773179979;7;1;-50;28;10;4
1773179980;7;1;-49;28;10;4
1773179982;7;1;-49;28;10;4
1773179983;7;1;-49;28;10;4
1773179985;7;1;-49;28;10;4
1773179986;7;1;-49;28;10;4
1773179987;7;1;-48;28;10;4
1773179989;7;1;-48;28;10;4
1773179990;7;1;-48;28;10;4
1773179991;7;1;-49;28;10;4
1773179993;7;1;-48;28;10;4
1773179994;7;1;-48;28;10;4
1773179996;7;1;-48;29;10;4
1773179997;7;1;-48;28;10;4
1773179998;7;1;-50;29;7;7
1773180000;7;1;-48;28;7;7
1773180001;7;1;-49;28;7;7
1773180003;7;1;-48;28;7;7
1773180004;7;1;-48;28;10;7
1773180005;7;1;-48;28;10;7
1773180007;7;1;-48;28;10;7
1773180008;7;1;-48;28;10;7
1773180009;7;1;-48;28;10;7
1773180011;7;1;-48;28;10;7
1773180012;7;1;-47;28;10;7
1773180014;7;1;-47;28;10;7
1773180015;7;1;-47;28;10;7
1773180016;7;1;-49;28;10;7
1773180018;7;1;-48;28;10;7
1773180019;7;1;-48;28;10;7
1773180021;7;1;-48;28;10;7
1773180022;7;1;-48;28;10;7
1773180023;7;1;-47;29;10;7
1773180025;7;1;-47;29;10;7
1773180026;7;1;-47;28;10;7
1773180027;7;1;-48;28;10;7
1773180029;7;1;-50;28;7;12
1773180030;7;1;-48;28;7;12
1773180032;7;1;-48;28;7;12
1773180033;7;1;-48;28;7;12
1773180034;7;1;-48;28;10;12
1773180036;7;1;-48;28;10;12
1773180037;7;1;-49;28;10;12
1773180038;7;1;-49;28;10;12
1773180040;7;1;-49;28;10;12
1773180041;7;1;-49;28;10;12
1773180043;7;1;-49;28;10;12
1773180044;7;1;-48;28;10;12
1773180045;7;1;-48;28;10;12
1773180047;7;1;-48;28;10;12
1773180048;7;1;-49;28;10;12
1773180050;7;1;-48;28;10;12
1773180051;7;1;-49;28;10;12
1773180052;7;1;-49;28;10;12
1773180054;7;1;-48;28;10;12
1773180055;7;1;-49;28;10;12
1773180056;7;1;-48;28;10;12
1773180058;7;1;-48;28;10;12
1773180059;7;1;-50;28;7;16
1773180061;7;1;-49;28;7;16
1773180062;7;1;-49;28;7;16
1773180063;7;1;-48;28;7;16
1773180065;7;1;-48;28;10;16
1773180066;7;1;-49;28;10;16
1773180067;7;1;-49;28;10;16
1773180069;7;1;-48;28;10;16
1773180070;7;1;-49;28;10;16
1773180072;7;1;-49;28;10;16
1773180073;7;1;-49;28;10;16
1773180074;7;1;-49;28;10;16
1773180076;7;1;-49;27;10;16
1773180077;7;1;-48;27;10;16
1773180079;7;1;-49;28;10;16
1773180080;7;1;-48;28;10;16
1773180081;7;1;-49;28;10;16
1773180083;7;1;-50;28;10;16
1773180084;7;1;-49;28;10;16
1773180085;7;1;-49;28;10;16
1773180087;7;1;-49;28;10;16
1773180088;7;1;-49;28;10;16
1773180090;7;1;-50;28;7;16
1773180091;7;1;-49;28;7;16
1773180092;7;1;-49;28;7;16
1773180094;7;1;-48;28;7;16
1773180095;7;1;-49;28;10;16
1773180097;7;1;-50;28;10;16
1773180098;7;1;-49;28;10;16
1773180099;7;1;-49;28;10;16
1773180101;7;1;-49;28;10;16
1773180102;7;1;-49;28;10;16
1773180103;7;1;-48;27;10;16
1773180105;7;1;-50;28;10;16
1773180106;7;1;-48;28;10;16
1773180108;7;1;-49;28;10;16
1773180109;7;1;-50;28;10;16
1773180110;7;1;-49;28;10;16
1773180112;7;1;-49;27;10;16
1773180113;7;1;-49;28;10;16
1773180115;7;1;-48;28;10;16
1773180116;7;1;-48;27;10;16
1773180117;7;1;-48;28;10;16
1773180119;7;1;-49;28;10;16
1773180120;7;1;-50;28;7;19
1773180121;7;1;-49;28;7;19
1773180123;7;1;-48;28;7;19
1773180124;7;1;-49;28;7;19
1773180126;7;1;-50;28;10;19
1773180127;7;1;-49;28;10;19
1773180128;7;1;-48;28;10;19
1773180130;7;1;-49;28;10;19
1773180131;7;1;-49;28;10;19
1773180132;7;1;-49;28;10;19
1773180134;7;1;-49;27;10;19
1773180135;7;1;-49;27;10;19
1773180137;7;1;-48;27;10;19
1773180138;7;1;-48;27;10;19
1773180141;7;1;-50;27;10;19
1773180142;7;1;-49;28;10;19
1773180144;7;1;-50;28;10;19
1773180145;7;1;-49;28;10;19
1773180146;7;1;-49;29;10;19
1773180148;7;1;-49;27;10;19
1773180149;7;1;-48;28;10;19
1773180150;7;1;-50;27;7;20
1773180152;7;1;-48;28;7;20
1773180153;7;1;-48;28;7;20
1773180155;7;1;-50;27;7;20
1773180156;7;1;-50;28;10;20
1773180157;7;1;-48;28;10;20
1773180159;7;1;-49;28;10;20
1773180160;7;1;-50;28;10;20
1773180162;7;1;-48;27;10;20
1773180163;7;1;-49;28;10;20
1773180164;7;1;-49;28;10;20
1773180166;7;1;-49;27;10;20
1773180167;7;1;-49;27;10;20
1773180168;7;1;-48;27;10;20
1773180170;7;1;-48;27;10;20
1773180171;7;1;-49;27;10;20
1773180173;7;1;-50;28;10;20
1773180174;7;1;-48;28;10;20
1773180175;7;1;-48;28;10;20
1773180177;7;1;-49;28;10;20
1773180178;7;1;-49;27;10;20
1773180180;7;1;-50;28;10;20
1773180181;7;1;-49;28;2;21
1773180182;7;1;-50;28;7;23
1773180184;7;1;-49;28;7;23
1773180185;7;1;-50;28;7;23
1773180186;7;1;-49;28;10;23
1773180188;7;1;-48;27;10;23
1773180189;7;1;-49;28;10;23
1773180191;7;1;-49;27;10;23
1773180192;7;1;-48;27;10;23
1773180193;7;1;-49;28;10;23
1773180195;7;1;-49;28;10;23
1773180196;7;1;-49;27;10;23
1773180197;7;1;-48;27;10;23
1773180199;7;1;-49;27;10;23
1773180200;7;1;-48;28;10;23
1773180202;7;1;-49;28;10;23
1773180203;7;1;-49;28;10;23
1773180204;7;1;-49;28;10;23
1773180206;7;1;-48;28;10;23
1773180207;7;1;-48;27;10;23
1773180209;7;1;-48;27;10;23
1773180210;7;1;-48;27;10;23
1773180211;7;1;-48;27;10;23
1773180213;7;1;-49;29;7;25
1773180214;7;1;-49;28;7;25
1773180215;7;1;-49;27;7;25
1773180217;7;1;-49;28;10;25
1773180218;7;1;-49;27;10;25
1773180220;7;1;-50;28;10;25
1773180221;7;1;-49;28;10;25
1773180222;7;1;-49;28;10;25
1773180224;7;1;-49;28;10;25
1773180225;7;1;-49;28;10;25
1773180226;7;1;-49;27;10;25
1773180228;7;1;-49;28;10;25
1773180229;7;1;-49;27;10;25
1773180231;7;1;-49;28;10;25
1773180232;7;1;-49;28;10;25
1773180233;7;1;-49;28;10;25
1773180235;7;1;-48;27;10;25
1773180236;7;1;-48;28;10;25
1773180238;7;1;-49;28;10;25
1773180239;7;1;-49;27;10;25
1773180240;7;1;-48;27;10;25
1773180242;7;1;-48;27;10;25
1773180243;7;1;-49;28;7;25
1773180244;7;1;-49;27;7;25
1773180246;7;1;-50;27;7;25
1773180247;7;1;-49;27;10;25
1773180249;7;1;-49;27;10;25
1773180250;7;1;-50;27;10;25
1773180251;7;1;-49;28;10;25
1773180253;7;1;-48;27;10;25
1773180254;7;1;-49;28;10;25
1773180255;7;1;-49;27;10;25
1773180257;7;1;-48;27;10;25
1773180258;7;1;-49;28;10;25
1773180260;7;1;-49;28;10;25
1773180261;7;1;-49;27;10;25
1773180262;7;1;-48;27;10;25
1773180264;7;1;-49;28;10;25
1773180265;7;1;-49;28;10;25
1773180267;7;1;-48;28;10;25
1773180268;7;1;-48;27;10;25
1773180269;7;1;-49;28;10;25
1773180271;7;1;-48;28;10;25
1773180272;7;1;-48;27;10;25
1773180273;7;1;-49;28;7;34
1773180275;7;1;-48;28;7;34
1773180276;7;1;-48;28;7;34
1773180278;7;1;-48;28;10;34
1773180279;7;1;-49;28;10;34
1773180280;7;1;-50;28;10;34
1773180282;7;1;-50;28;10;34
1773180283;7;1;-49;29;10;34
1773180284;7;1;-50;28;10;34
1773180286;7;1;-49;28;10;34
1773180287;7;1;-49;28;10;34
1773180289;7;1;-49;28;10;34
1773180290;7;1;-49;28;10;34
1773180291;7;1;-49;29;10;34
1773180293;7;1;-49;28;10;34
1773180294;7;1;-49;28;10;34
1773180296;7;1;-48;28;10;34
1773180297;7;1;-48;28;10;34
1773180298;7;1;-49;28;10;34
1773180300;7;1;-49;28;10;34
1773180301;7;1;-48;27;10;34
1773180302;7;1;-49;27;7;34
1773180304;7;1;-49;28;7;37
1773180305;7;1;-48;28;7;37
1773180307;7;1;-48;28;7;37
1773180308;7;1;-49;27;10;37
1773180309;7;1;-50;28;10;37
1773180311;7;1;-49;28;10;37
1773180312;7;1;-48;28;10;37
1773180313;7;1;-48;28;10;37
1773180315;7;1;-50;28;10;37
1773180316;7;1;-50;28;10;37
1773180318;7;1;-49;28;10;37
1773180319;7;1;-49;28;10;37
1773180320;7;1;-49;28;10;37
1773180322;7;1;-49;28;10;37
1773180323;7;1;-48;28;10;37
1773180325;7;1;-48;27;10;37
1773180326;7;1;-48;27;10;37
1773180327;7;1;-49;28;10;37
1773180329;7;1;-48;27;10;37
1773180330;7;1;-49;28;10;37
1773180331;7;1;-48;28;10;37
1773180333;7;1;-48;27;10;37
1773180334;7;1;-50;29;7;39
1773180336;7;1;-49;29;7;39
1773180337;7;1;-48;28;7;39
1773180338;7;1;-49;28;7;39
1773180340;7;1;-49;28;10;39
1773180341;7;1;-49;28;10;39
1773180342;7;1;-49;28;10;39
1773180344;7;1;-49;28;10;39
1773180345;7;1;-49;27;10;39
1773180347;7;1;-48;27;10;39
1773180348;7;1;-49;28;10;39
1773180349;7;1;-49;28;10;39
1773180351;7;1;-48;27;10;39
1773180352;7;1;-48;27;10;39
1773180354;7;1;-49;28;10;39
1773180355;7;1;-49;28;10;39
1773180356;7;1;-48;28;10;39
1773180358;7;1;-48;27;10;39
1773180359;7;1;-48;28;10;39
1773180360;7;1;-49;28;10;39
1773180362;7;1;-48;28;10;39
1773180363;7;1;-48;28;10;39
1773180365;7;1;-50;28;7;42
1773180366;7;1;-49;28;7;42
1773180367;7;1;-49;28;7;42
1773180369;7;1;-49;28;7;42
1773180370;7;1;-49;28;10;42
1773180371;7;1;-48;28;10;42
1773180373;7;1;-48;27;10;42
1773180374;7;1;-48;28;10;42
1773180376;7;1;-48;27;10;42
1773180377;7;1;-49;28;10;42
1773180378;7;1;-49;28;10;42
1773180380;7;1;-48;28;10;42
1773180381;7;1;-49;28;10;42
1773180383;7;1;-48;27;10;42
1773180384;7;1;-48;28;10;42
1773180385;7;1;-48;28;10;42
1773180387;7;1;-50;28;10;42
1773180388;7;1;-49;28;10;42
1773180389;7;1;-48;28;10;42
1773180391;7;1;-49;27;10;42
1773180392;7;1;-48;27;10;42
1773180394;7;1;-48;27;10;42
1773180395;7;1;-50;27;7;43
1773180396;7;1;-48;27;7;43
1773180398;7;1;-47;28;7;43
1773180399;7;1;-49;28;7;43
1773180401;7;1;-49;27;10;43
1773180402;7;1;-49;27;10;43
1773180403;7;1;-49;28;10;43
1773180405;7;1;-49;28;10;43
1773180406;7;1;-49;28;10;43
1773180407;7;1;-49;28;10;43
1773180409;7;1;-50;28;10;43
1773180410;7;1;-50;28;10;43
1773180412;7;1;-49;27;10;43
1773180413;7;1;-48;27;10;43
1773180414;7;1;-49;28;10;43
1773180416;7;1;-49;27;10;43
1773180417;7;1;-49;27;10;43
1773180418;7;1;-48;27;10;43
1773180420;7;1;-48;27;10;43
1773180421;7;1;-48;28;10;43
1773180423;7;1;-50;28;10;43
1773180424;7;1;-49;28;10;43
1773180425;7;1;-50;28;7;46
1773180427;7;1;-48;28;7;46
1773180428;7;1;-49;27;7;46
