RSSI 5 metri;RTT 5 metri;;RSSI 10 metri;RTT 10 metri;;RSSI 15 metri;RTT 15 metri;;RSSI 20 metri;RTT 20 metri;;RSSI 25 metri;RTT  25 metri;;RSSI 30 metri ;RTT 30 metri;;RSSI  35 metri;RTT 35 metri;;RSSI 40 metri;RTT 40 metri
-53;5,55;;-68;6,47;;-68;7,17;;-59;5,56;;-59;4,62;;-68;5,58;;-66;6,36;;-67;4,98
-53;5,42;;-68;15,5;;-66;4,47;;-60;5,78;;-59;7,08;;-68;5,6;;-65;5,48;;-69;8,06
-53;5,35;;-68;8,59;;-66;4,17;;-60;5,12;;-59;4,79;;-68;5,72;;-66;4,29;;-69;5,45
-53;4,93;;-68;5,66;;-65;4,16;;-60;5,58;;-59;3,98;;-66;5,68;;-66;4,61;;-71;7,49
-53;5,27;;-68;4,1;;-65;4,47;;-60;5,8;;-59;4,37;;-68;5,79;;-64;4,17;;-68;5,4
-50;7,72;;-68;6,37;;-68;4,76;;-60;5,72;;-59;4,08;;-68;7,4;;-65;4,12;;-69;5,06
-53;5,29;;-68;15,6;;-66;6,05;;-60;5,37;;-59;6,88;;-68;5,55;;-65;4,39;;-68;5,42
-53;5,59;;-68;18,3;;-68;4,93;;-59;4,96;;-59;4,74;;-68;5,05;;-65;4,42;;-71;9,21
-53;5;;-69;16,7;;-65;6,2;;-60;6,84;;-59;3,97;;-68;5,61;;-65;4,18;;-68;5,49
-53;5,54;;-65;13,7;;-65;4,66;;-60;5,5;;-59;4,98;;-68;5,78;;-65;4,46;;-71;7,95
-53;5,34;;-68;6,92;;-68;6,72;;-60;5,32;;-59;3,95;;-65;5,51;;-65;4,49;;-71;6,84
-53;5,63;;-65;4,67;;-67;6,26;;-60;5,39;;-59;4,83;;-68;7,8;;-65;4,09;;-71;7,7
-53;5,76;;-68;10,6;;-68;4,72;;-60;5,24;;-59;4,09;;-68;5,31;;-65;4,46;;-70;5,51
-52;6,83;;-68;12,8;;-67;5,75;;-60;5,79;;-59;4,11;;-68;5,28;;-65;4,37;;-68;4,95
-52;5,89;;-68;16,4;;-68;4,67;;-60;5,55;;-59;4,88;;-65;5,28;;-65;7,82;;-67;8,69
-53;5,68;;-68;9,15;;-68;5,8;;-60;5,77;;-59;4,92;;-65;5,6;;-65;6,32;;-68;8,08
-53;5,72;;-68;12,5;;-68;5,75;;-60;5,62;;-59;3,96;;-67;6,52;;-65;4,18;;-68;5,22
-53;5,21;;-68;5,4;;-69;5,23;;-60;4,98;;-59;4,4;;-67;5,24;;-65;4,88;;-67;5,05
-53;5,24;;-68;15,3;;-68;4,24;;-60;7,61;;-59;7,26;;-67;5,6;;-65;7,88;;-68;4,97
-53;7,4;;-69;5;;-68;5,35;;-60;5,16;;-59;4,19;;-68;5,21;;-65;5,28;;-67;5,57
-53;5,86;;-69;10,2;;-68;6,79;;-60;5,33;;-59;4,48;;-68;5,59;;-65;5,81;;-71;4,99
-53;5,28;;-68;5,21;;-68;7,3;;-60;5,75;;-59;4,65;;-68;5,35;;-65;4,52;;-71;7,7
-53;5,66;;-68;5,39;;-68;4,15;;-60;5,01;;-58;5,85;;-68;5,35;;-65;4,53;;-71;5,85
-50;4,9;;-68;5,29;;-69;6,88;;-60;5,67;;-58;3,89;;-68;7,4;;-65;4,17;;-71;8,48
-53;5,19;;-68;12,7;;-68;5,24;;-60;5,7;;-59;4,62;;-68;6,78;;-65;6,72;;-71;5,58
-53;5,28;;-69;7,52;;-68;5,6;;-60;7,05;;-59;4,35;;-68;5,78;;-65;4,2;;-68;5,87
-52;5,1;;-68;10,2;;-74;5,85;;-60;5,62;;-59;4,89;;-68;5,03;;-65;4,31;;-71;5,58
-53;5,47;;-69;5,24;;-65;4,63;;-60;5,38;;-59;4,67;;-68;4,92;;-65;4,1;;-68;7,76
-52;5,88;;-68;5,27;;-68;5,3;;-60;5,34;;-59;4,18;;-67;5,03;;-65;4,04;;-72;5,63
-52;4,91;;-68;5,68;;-69;6,08;;-60;5,2;;-59;4,11;;-68;5,32;;-65;4,79;;-68;5,66
-53;5,2;;-68;10,4;;-69;5,09;;-60;5,35;;-59;4,78;;-68;5;;-65;4,71;;-72;5,77
-53;5,67;;-68;5,78;;-69;4,97;;-60;5,26;;-59;4,09;;-68;5,48;;-65;4,01;;-71;5,03
-53;6,82;;-68;4,8;;-66;5,2;;-60;5,55;;-59;6,96;;-68;6,79;;-65;4,15;;-69;8,3
-53;5,86;;-68;7,45;;-66;5,79;;-60;5;;-59;4,87;;-68;5,86;;-65;4,75;;-68;5,69
-53;8,39;;-68;16,2;;-68;5,3;;-60;5,28;;-59;4,12;;-68;7,63;;-65;7,34;;-71;5,15
-53;7,58;;-68;10,2;;-65;5,8;;-59;5,48;;-59;4,73;;-68;5,02;;-65;3,9;;-71;9,57
-53;5,25;;-68;7,14;;-68;5,53;;-60;5,95;;-59;4,89;;-68;5,87;;-65;4,27;;-71;4,99
-53;5,41;;-68;5,15;;-68;5,71;;-60;5,02;;-59;4,33;;-68;7,23;;-65;4,68;;-72;5,91
-53;5,58;;-68;5,28;;-67;5,26;;-60;5,67;;-59;4,8;;-68;4,95;;-65;4,38;;-71;5,8
-53;5,21;;-68;6,69;;-68;5,03;;-60;5,28;;-59;4,29;;-68;4,92;;-65;4,36;;-68;5,69
-53;5,46;;-68;6,23;;-65;5,04;;-60;5,43;;-59;6,06;;-68;5,66;;-65;8,31;;-71;5,62
-53;5,39;;-69;6,32;;-68;5,51;;-60;5,07;;-59;4,41;;-68;4,95;;-65;4,33;;-67;5,16
-53;5,3;;-68;7,73;;-67;5,72;;-60;5,04;;-59;4,24;;-68;5,03;;-65;4,28;;-70;5,73
-53;5,53;;-69;5,13;;-65;5,65;;-60;5,27;;-59;4,71;;-68;7,73;;-65;4,46;;-68;11,1
-53;5,66;;-68;9,21;;-67;5,41;;-60;6,83;;-59;5,68;;-67;5,63;;-65;6,29;;-68;5,9
-53;5,89;;-66;8,28;;-66;5,81;;-60;6,05;;-59;4,15;;-68;5,76;;-65;4,11;;-67;5,84
-53;5,22;;-68;5,98;;-68;6,71;;-60;4,98;;-56;4,97;;-67;5,55;;-65;4,21;;-67;5,26
-53;6,74;;-68;6;;-67;5,23;;-60;5,16;;-59;5,21;;-68;5,73;;-65;4,31;;-68;5,85
-52;5,44;;-68;19,7;;-68;4,91;;-60;5,11;;-59;6,72;;-68;5,52;;-65;4,53;;-68;6,48
-53;4,86;;-68;14,1;;-68;5,34;;-60;5,58;;-59;4,16;;-68;5,22;;-65;4,74;;-68;5,3
-53;5,58;;-68;13,3;;-68;5,01;;-60;5,25;;-59;5,64;;-67;5,82;;-65;4,52;;-68;8,47
-53;5,6;;-68;5,37;;-68;5,69;;-60;5,89;;-72;7,02;;-67;5,06;;-65;7,88;;-70;5,29
-53;4,9;;-68;19,4;;-68;7;;-60;5,93;;-59;5,59;;-67;5,37;;-65;4,48;;-67;4,56
-53;5,84;;-69;12,5;;-68;5,82;;-60;5,8;;-59;5,81;;-67;5,53;;-65;4,87;;-68;4,17
-53;5,26;;-68;12,4;;-69;5,78;;-74;4,98;;-59;4,94;;-67;5,85;;-65;4,77;;-67;3,98
-53;7,92;;-68;12,9;;-64;7,12;;-60;5,74;;-59;4,52;;-68;5,09;;-65;4,71;;-68;4,72
-53;5,83;;-68;11,6;;-68;5,78;;-60;5,42;;-59;5,37;;-67;5,75;;-65;4,86;;-72;8,02
-53;4,8;;-69;14,4;;-65;5,19;;-60;5,85;;-59;5,83;;-65;5,79;;-65;3,97;;-71;5,06
-53;5,31;;-69;7,29;;-68;5,57;;-60;5,07;;-59;5,93;;-68;5,85;;-65;4,65;;-68;5,22
-53;4,84;;-69;7,57;;-67;4,99;;-60;5,17;;-59;5,67;;-68;5,14;;-65;4,96;;-71;7,32
-53;5,34;;-68;12,3;;-67;5,36;;-60;5,22;;-59;5,88;;-68;4,96;;-65;4,75;;-68;6,89
-53;4,53;;-68;9,09;;-68;5,27;;-60;5,69;;-59;4,89;;-68;5,79;;-65;6,45;;-71;3,93
-53;4,8;;-68;11,3;;-67;7,64;;-60;5,02;;-59;5,8;;-68;5,45;;-65;5,94;;-71;4,47
-53;4,53;;-68;6,28;;-67;5,51;;-60;4,98;;-59;7,58;;-67;4,89;;-65;4,87;;-68;4,29
-53;4,72;;-68;6;;-67;5,67;;-60;5,3;;-59;5,4;;-68;8,48;;-65;4,47;;-68;4,22
-53;4,56;;-68;12,1;;-67;5,35;;-60;5,69;;-59;5,86;;-65;4,91;;-65;4,99;;-71;7,72
-53;4,37;;-65;14,2;;-67;5,45;;-60;5,11;;-59;4,9;;-68;5,33;;-65;3,91;;-71;7,15
-53;4,29;;-68;5,24;;-67;7,25;;-60;5,86;;-59;5,42;;-68;4,53;;-65;4,58;;-71;4,25
-53;4,67;;-69;15;;-67;5,68;;-60;5,68;;-59;4,93;;-68;5,65;;-65;4,99;;-71;4,21
-53;4,38;;-68;14,6;;-67;5,58;;-60;5,05;;-59;5,3;;-67;6,66;;-65;6,13;;-71;5,18
-53;4,04;;-68;11,3;;-67;5,11;;-60;7,84;;-59;5,69;;-68;4,33;;-65;4,64;;-69;4,02
-52;6,13;;-68;11,5;;-67;5,72;;-60;4,48;;-59;6,53;;-68;4,36;;-65;4,06;;-71;5,53
-53;4,76;;-68;6,43;;-67;5,1;;-60;4,92;;-59;5,5;;-67;4,68;;-66;4,29;;-72;4,2
-53;5,5;;-69;11;;-67;5,51;;-60;4,37;;-56;5,88;;-68;4,59;;-66;4,68;;-71;4,32
-53;4,12;;-68;7,38;;-67;5,75;;-59;8,17;;-59;5,7;;-68;4,63;;-65;7,72;;-71;4,21
-53;4,56;;-68;6,08;;-67;5,74;;-60;5,39;;-59;5,75;;-68;4,67;;-66;6,46;;-68;9,99
-53;4,61;;-68;5,98;;-67;4,96;;-60;4,48;;-59;5,32;;-68;7,88;;-66;4,38;;-72;4,53
-53;4,33;;-69;6,43;;-65;5,61;;-60;6,77;;-59;8,42;;-65;4,06;;-65;4,48;;-72;4,15
-53;4,44;;-68;6,18;;-65;8,01;;-60;7,44;;-59;5,7;;-68;4,39;;-65;4,39;;-71;8,85
-50;6,18;;-68;7,42;;-67;5,66;;-60;5,83;;-59;5,41;;-68;4,62;;-65;4,15;;-72;4,12
-53;4,62;;-68;6,36;;-67;4,94;;-60;5,04;;-59;8,52;;-68;4,06;;-66;4,55;;-72;6,28
-53;4,61;;-68;6,36;;-67;5,58;;-60;6,09;;-59;5,39;;-68;4,1;;-65;6,49;;-69;6,47
-53;5,68;;-68;6,24;;-67;7,75;;-60;5,7;;-59;5,15;;-68;6,99;;-65;6,44;;-72;7,38
-53;4,51;;-69;7,26;;-66;6,61;;-60;5,02;;-59;5,77;;-68;8,06;;-65;4,56;;-72;7,85
-53;4,69;;-68;6,14;;-66;5,8;;-60;5,75;;-59;5,44;;-68;6,86;;-66;7,32;;-69;4,42
-53;4,41;;-69;6,18;;-67;7,37;;-60;4,27;;-59;5,57;;-68;4,07;;-65;5,18;;-71;4,19
-53;4,8;;-68;14,4;;-67;5,88;;-60;5,53;;-59;5,6;;-65;4,64;;-65;5,61;;-72;4,97
-53;7,92;;-68;13,9;;-67;5,59;;-60;4,73;;-59;5,43;;-67;3,92;;-65;4,58;;-69;8,7
-53;4,26;;-68;7,41;;-67;5,57;;-60;7,57;;-59;5,86;;-68;4,72;;-65;4,41;;-72;3,92
-53;4,72;;-68;12,9;;-67;5,53;;-60;5,64;;-59;5,66;;-67;4,48;;-65;8,08;;-72;4,85
-52;4,64;;-69;13,1;;-67;8,84;;-60;5,66;;-59;5,84;;-65;4,26;;-65;5,64;;-72;4,17
-53;7,48;;-68;15,1;;-67;5,6;;-60;5,06;;-59;5,5;;-65;4,06;;-65;4,25;;-71;6,85
-52;4,38;;-68;6,01;;-68;5,81;;-60;5,7;;-59;5,61;;-67;4,57;;-65;4,99;;-71;4,85
-53;4,59;;-68;13,4;;-71;5,59;;-60;3,93;;-59;5,28;;-68;4,02;;-65;3,98;;-71;3,97
-53;4,08;;-68;8,38;;-68;5,73;;-60;5,19;;-59;7,09;;-67;4,18;;-65;4,34;;-69;4,79
-52;4,43;;-68;12;;-68;5,3;;-60;7,3;;-59;5,77;;-68;3,92;;-65;4,64;;-68;4,3
-49;4,69;;-68;5,26;;-68;5,56;;-60;4,05;;-59;5,57;;-68;4,81;;-65;4,51;;-71;4,73
-49;4;;-69;12,3;;-68;6,36;;-60;4,37;;-59;5,02;;-65;6,15;;-65;5,42;;-68;5,73
-53;4,37;;-69;14,1;;-68;5,45;;-59;7;;-59;5,19;;-68;5,89;;-65;5,17;;-71;4,52
-49;4,39;;-68;12,3;;-69;8,55;;-60;4,37;;-59;5,6;;-68;4,86;;-72;7,42;;-71;3,89
-49;4,86;;-69;14,2;;-67;5,19;;-60;4,24;;-59;5,88;;-67;4,9;;-65;5,81;;-71;4,31
-52;7,22;;-69;5,29;;-68;6,19;;-60;4,04;;-59;5,76;;-68;4,64;;-65;4,4;;-70;3,97
-53;4,2;;-68;11,4;;-67;5,26;;-60;4,21;;-59;5,53;;-68;4,46;;-65;5,85;;-71;5,7
-53;4,61;;-68;19,8;;-67;5,68;;-60;4,23;;-59;4,92;;-68;4,88;;-66;5,31;;-71;4,46
-51;4,4;;-68;5,71;;-68;7,36;;-60;5,05;;-58;7,39;;-68;7,87;;-65;6,71;;-72;4,75
-48;6,47;;-68;12,9;;-67;5,44;;-60;4,1;;-59;4,94;;-68;4,47;;-65;5,36;;-71;9,94
-51;4,27;;-68;5,67;;-67;6,03;;-60;4,18;;-59;7,14;;-68;4,67;;-65;7,68;;-72;4,64
-52;4,51;;-68;8,43;;-67;5,7;;-60;4,18;;-59;5,8;;-68;4,76;;-65;5,22;;-72;4,57
-54;4,71;;-69;6,73;;-64;5,68;;-60;4,22;;-59;5,6;;-68;4,8;;-65;7,94;;-71;4,8
-49;4,45;;-69;8,71;;-65;5,5;;-60;5,06;;-59;5,12;;-68;4,69;;-65;5,49;;-71;3,99
-53;6,25;;-68;6,54;;-67;4,99;;-60;4,88;;-59;5,19;;-68;7,8;;-65;5,72;;-71;9,19
-53;4,16;;-68;6,53;;-67;5,21;;-60;7,7;;-59;5,36;;-68;3,97;;-65;5,7;;-72;10,5
-50;4,43;;-68;7,53;;-67;6,65;;-60;4,83;;-59;6,62;;-68;5,62;;-65;4,96;;-71;4,64
-52;4,72;;-67;16,9;;-67;6,9;;-60;6,14;;-59;5,47;;-68;4,47;;-65;4,95;;-71;8,09
-49;7,62;;-65;5,47;;-67;6,05;;-60;4,21;;-59;4,97;;-65;4,84;;-65;7,63;;-72;4,65
-52;4,04;;-68;9,97;;-67;4,95;;-60;4,14;;-59;5,67;;-68;7,68;;-65;6,24;;-69;5,86
-51;3,98;;-68;15,4;;-67;5,24;;-60;3,99;;-59;5,61;;-67;3,99;;-65;5,83;;-71;4,46
-52;4,61;;-66;5,45;;-67;5,39;;-60;4,72;;-59;5,72;;-68;4,53;;-66;5,09;;-72;4,33
-53;3,92;;-71;9,38;;-67;8,75;;-60;4,08;;-59;5,88;;-68;4,79;;-65;5,11;;-71;4,28
-53;7,82;;-65;9,5;;-68;5,55;;-60;4,65;;-59;5,54;;-68;4,61;;-65;5,09;;-68;4,3
-54;4,51;;-68;5,96;;-67;5,65;;-60;4,89;;-59;7,58;;-68;6,08;;-65;5,88;;-69;6,37
-52;4,87;;-65;6,81;;-68;7,7;;-60;4,47;;-59;5,83;;-65;6,62;;-65;7,74;;-72;4,22
-53;3,98;;-73;9,13;;-68;8,4;;-60;4;;-59;5,55;;-68;6,37;;-65;5,09;;-72;4,89
-52;8,33;;-68;9,23;;-68;4,93;;-60;6,08;;-59;5,92;;-68;4,13;;-65;5,73;;-72;4,22
-53;6,89;;-69;13,8;;-67;7,19;;-60;8,29;;-59;7,84;;-68;4,7;;-65;4,98;;-71;7,53
-53;7,85;;-69;6,2;;-67;5,88;;-60;7,16;;-59;7,81;;-68;5,83;;-65;8,2;;-72;8,39
-52;4,79;;-68;6,14;;-67;5,29;;-60;4,07;;-58;5,62;;-65;7,53;;-65;5,82;;-72;5,14
-53;4,2;;-68;6;;-64;5,73;;-60;4,34;;-58;6,61;;-68;4,77;;-65;5,89;;-71;4,45
-52;3,93;;-69;7,85;;-67;4,93;;-60;4,49;;-59;5,72;;-68;7,73;;-65;7,16;;-72;4,71
-52;6,78;;-70;10,3;;-67;5,71;;-60;4,39;;-59;5,71;;-65;4,55;;-65;5,45;;-71;4,83
-52;4,45;;-71;6,07;;-67;5,99;;-60;3,91;;-59;5,71;;-65;4,63;;-65;5,32;;-72;5,38
-53;4,44;;-71;5,54;;-67;8,27;;-60;4,15;;-59;4,96;;-68;4,17;;-65;5,49;;-72;4,18
-52;4,32;;-71;5,14;;-67;4,96;;-60;4,85;;-59;8,27;;-68;6,68;;-65;6,88;;-72;4,14
-54;4,63;;-66;5,11;;-67;6,66;;-60;4,59;;-59;5,65;;-68;4,83;;-65;4,99;;-72;4,35
-53;4,67;;-64;5,2;;-67;5,23;;-60;5,16;;-56;5,24;;-68;4,4;;-65;5,86;;-72;5,48
-54;4,54;;-68;20,8;;-68;5,22;;-60;4,82;;-59;6,97;;-68;7,15;;-65;5,5;;-69;5,46
-54;4,63;;-65;5,26;;-67;5,09;;-60;4,81;;-59;5,28;;-68;3,95;;-65;5,7;;-72;4,11
-54;4,52;;-67;5,14;;-66;5,14;;-60;4,74;;-59;5,15;;-68;4,22;;-65;7,03;;-72;4,15
-53;6,42;;-66;4,93;;-67;5,11;;-60;4,67;;-59;5,84;;-68;4,09;;-65;5,22;;-72;4,79
-53;4,72;;-68;5,14;;-67;8,58;;-60;4,21;;-59;5,59;;-68;4,05;;-65;5,72;;-72;4,09
-54;5,42;;-69;14,4;;-67;5,8;;-60;4,71;;-59;5,68;;-68;5,86;;-65;6,06;;-71;4,76
-54;4,74;;-68;22;;-67;5,73;;-60;4,33;;-59;5;;-67;6,15;;-65;5,41;;-71;4,74
-52;7,92;;-67;11,4;;-64;5,26;;-60;4,61;;-59;5,51;;-68;4,71;;-65;5;;-71;4,49
-52;3,94;;-66;5,01;;-64;5,08;;-60;3,93;;-59;6,62;;-68;4,7;;-65;5,65;;-68;4,07
-49;4,58;;-68;15,9;;-66;5,21;;-60;7,44;;-59;6,47;;-65;5,4;;-65;5,43;;-71;3,95
-54;4,13;;-69;11,4;;-66;5,75;;-60;4,54;;-59;5,26;;-68;4,53;;-65;4,9;;-72;4,29
-52;4,75;;-68;5,99;;-64;5,05;;-60;4,58;;-59;5,46;;-67;4,89;;-65;4,93;;-69;4,3
-53;4,42;;-68;21,2;;-66;5,65;;-60;4,61;;-59;5,46;;-65;5,35;;-65;5,57;;-72;4,13
-54;6,48;;-67;11,5;;-67;7,44;;-59;4,36;;-59;5,06;;-68;4,49;;-65;5,03;;-72;4,77
-53;4,03;;-69;14,3;;-67;5,45;;-60;4,07;;-59;5,85;;-68;4,78;;-65;6,84;;-69;3,93
-53;4,07;;-68;11,4;;-67;5,14;;-60;4,56;;-59;5,54;;-68;4,44;;-65;5,74;;-72;4,86
-49;4,36;;-68;5,17;;-67;5,61;;-60;4,06;;-59;5,41;;-65;4,73;;-65;5,05;;-69;4,97
-53;4,64;;-68;17,1;;-67;9,19;;-60;4,39;;-59;5,75;;-68;4,71;;-65;5,05;;-72;4,81
-52;4,89;;-68;11,1;;-67;5,26;;-60;4,46;;-59;5,5;;-65;4,47;;-65;5,75;;-72;7,97
-52;4,87;;-68;7,1;;-67;7,86;;-59;6,83;;-60;5,06;;-67;4,88;;-65;5,83;;-72;7,79
-52;7,53;;-68;4,9;;-67;5,11;;-60;7,1;;-59;5,24;;-65;5,88;;-65;5,77;;-72;6,58
-52;4,36;;-68;11,8;;-68;4,53;;-59;4,02;;-59;5,3;;-68;4,25;;-65;5,27;;-72;4,8
-53;4,76;;-68;13,7;;-65;6,54;;-60;5,64;;-59;5,44;;-68;4,14;;-65;5,73;;-72;4,12
-50;4,62;;-68;7,48;;-68;7,47;;-60;4,29;;-59;5,02;;-68;4,38;;-65;5,86;;-68;4,08
-52;8,73;;-69;13,5;;-68;7,26;;-60;5,11;;-59;5,56;;-67;4,7;;-65;5,04;;-68;4,64
-53;4,57;;-68;16,7;;-68;6,51;;-60;4,28;;-59;5,14;;-67;4,27;;-65;5,46;;-68;4,65
-53;4,79;;-68;15,3;;-64;5,06;;-60;7,65;;-59;5,75;;-68;4,18;;-65;5,19;;-68;4,75
-53;4,43;;-68;18,3;;-68;4,18;;-60;4,65;;-59;5,11;;-68;4,48;;-65;5,9;;-67;4,66
-53;4,26;;-68;6,42;;-68;7,33;;-60;4,67;;-59;5,16;;-68;4,56;;-65;5,36;;-68;4,75
-52;4,42;;-68;6,77;;-68;4,13;;-60;4,9;;-59;5,97;;-68;4,43;;-66;5,26;;-68;4,67
-52;4,58;;-68;6,31;;-68;5,3;;-60;6,99;;-59;4,99;;-68;4,55;;-66;7,2;;-68;7,01
-53;4,12;;-68;8,33;;-67;4,58;;-60;7,56;;-59;6,77;;-68;4,61;;-65;5,02;;-68;4,77
-53;4,39;;-69;7,5;;-67;4,58;;-60;4,7;;-58;7,77;;-68;4,48;;-65;6,9;;-68;4,4
-52;4,35;;-69;6,4;;-67;4,48;;-60;4,86;;-59;4,95;;-68;5,33;;-65;5,61;;-68;4,75
-52;4,43;;-69;11,2;;-66;7,35;;-60;4,27;;-58;5,7;;-65;4,09;;-66;5,68;;-68;3,93
-52;4,29;;-69;6,42;;-67;7,44;;-60;4,55;;-59;5,45;;-65;7,69;;-65;4,97;;-68;3,99
-52;6,77;;-68;6,17;;-67;3,97;;-60;4,48;;-59;5,63;;-68;4,7;;-65;7,66;;-68;4,29
-52;4,06;;-68;6,57;;-67;7,62;;-60;4,14;;-59;6,04;;-65;4,48;;-65;5,37;;-68;7,82
-52;7,59;;-68;13,2;;-67;4,38;;-60;4,96;;-59;5,3;;-65;4,54;;-66;5,75;;-68;4,68
-53;4,1;;-68;6,25;;-68;4,18;;-60;4,85;;-53;5,13;;-68;4,65;;-65;5,77;;-68;4,15
-53;4,93;;-68;9,5;;-67;4,16;;-60;4,74;;-59;5,27;;-68;4,8;;-65;5,88;;-71;6,48
-53;4,57;;-68;7,63;;-67;4,27;;-60;7,83;;-59;7,88;;-68;4,52;;-66;5,69;;-68;4,1
-52;4,02;;-68;6,01;;-67;5,41;;-60;4,74;;-59;5,28;;-68;4,61;;-65;5,39;;-68;7,18
-53;5,9;;-68;6,41;;-67;6,51;;-60;4,33;;-59;4,46;;-67;6,63;;-65;5,8;;-68;5,29
-53;4,65;;-69;6,5;;-67;4,25;;-59;6,8;;-59;4,52;;-68;4,38;;-66;5,56;;-71;4,44
-53;4,86;;-69;9,37;;-67;4,11;;-59;4,79;;-59;4,53;;-68;4,7;;-65;4,97;;-68;5,23
-53;4,81;;-69;7,26;;-67;6,99;;-59;7,4;;-59;4,6;;-68;4,5;;-65;5,89;;-71;7,53
-52;4,63;;-68;10,4;;-64;4,06;;-59;4,72;;-59;4,94;;-67;7,46;;-65;5,88;;-72;7,66
-52;4,72;;-68;11,3;;-67;4,15;;-59;4,57;;-59;4,85;;-65;4,76;;-65;5,92;;-71;4,82
-53;6,65;;-68;8,25;;-67;4,37;;-59;4,73;;-59;5,68;;-68;4,61;;-65;7,64;;-72;8,55
-53;4,26;;-69;7,85;;-66;4,01;;-59;3,94;;-59;7,76;;-68;4,72;;-65;7,03;;-72;9,94
-53;4,14;;-68;5,97;;-68;4,05;;-59;3,93;;-59;4,84;;-68;4,31;;-65;7,44;;-72;6,21
-53;4,58;;-69;6,4;;-67;4,17;;-59;4,51;;-59;4,07;;-68;4,48;;-65;5,2;;-71;4,13
-53;8,52;;-65;6,52;;-67;4,04;;-59;4,83;;-59;3,94;;-68;4,33;;-65;5,41;;-72;5,31
-53;4,7;;-69;6,02;;-66;4,86;;-59;3,92;;-69;4,02;;-68;4,18;;-65;5,32;;-72;4,46
-53;6,41;;-68;20,5;;-67;3,99;;-59;4,76;;-59;4,05;;-68;4,52;;-65;4,88;;-71;4,37
-53;4,78;;-69;12,9;;-64;4,18;;-59;4,15;;-59;4,9;;-68;4,19;;-65;7,66;;-71;3,95
-53;4,81;;-68;5,09;;-66;4,17;;-59;3,99;;-59;4,93;;-68;4,64;;-65;7,67;;-71;4,04
-53;4,73;;-70;13,1;;-67;4,69;;-59;4,88;;-59;4,66;;-68;5,83;;-65;5,18;;-71;4,13
-52;4,58;;-69;7,42;;-67;4,77;;-59;4,66;;-59;4,65;;-68;4,35;;-65;5,02;;-68;6,64
-53;4,56;;-67;6,38;;-67;4,29;;-59;3,97;;-59;4;;-65;4,07;;-65;4,97;;-71;3,96
-53;4,68;;-68;9,15;;-67;4,62;;-59;4,53;;-59;7,32;;-65;4,85;;-65;5,45;;-71;4,26
-53;4,17;;-68;6,31;;-67;4,5;;-59;4,45;;-59;4,08;;-68;4,96;;-65;5,16;;-68;3,98
-50;6,09;;-70;12,4;;-67;6,32;;-59;4,82;;-59;7,4;;-68;4,85;;-65;6,26;;-68;4,36
-53;4,85;;-65;6,51;;-67;3,92;;-59;3,94;;-59;3,92;;-68;3,95;;-65;5,55;;-71;4,21
-53;6,63;;-70;8,63;;-66;3,9;;-59;4,67;;-59;4,87;;-68;4,06;;-65;4,02;;-68;3,92
-53;6,63;;-67;5,2;;-67;4,63;;-59;4,54;;-59;7,31;;-68;4,14;;-65;4,38;;-71;6,79
-51;4,23;;-63;8,61;;-67;7,34;;-59;7,73;;-71;4,7;;-68;4,59;;-65;3,94;;-70;5,28
-53;4,33;;-70;10,2;;-67;4,61;;-59;4,66;;-59;4,68;;-68;4,43;;-65;4,47;;-68;5,69
-49;7,55;;-63;17,4;;-67;4,85;;-59;4,86;;-59;4,62;;-68;8,53;;-65;4,21;;-68;6,25
-53;4,63;;-61;8,68;;-67;4,74;;-59;4,81;;-59;4,33;;-68;6,71;;-65;3,96;;-68;5,21
-53;4,49;;-62;4,97;;-67;4,14;;-59;4,4;;-59;4,75;;-68;4,23;;-65;4,87;;-71;5,84
-52;6,16;;-72;9,9;;-67;6,93;;-59;5,65;;-59;8,53;;-68;4,41;;-66;4,69;;-72;4,89
-53;4,42;;-65;15,3;;-67;4,2;;-59;4,53;;-59;4,57;;-68;4,91;;-65;4,57;;-72;5,55
-52;5,14;;-70;13,2;;-67;5,28;;-59;4,58;;-59;5,82;;-68;4,88;;-65;3,98;;-72;5,66
-52;4,66;;-62;5,72;;-67;5,34;;-59;4,74;;-60;5,2;;-65;4,49;;-65;7,62;;-72;4,66
-52;4,63;;-66;4,42;;-67;4,85;;-59;4,55;;-59;4,69;;-68;4,8;;-65;4,07;;-72;5,76
-51;4,05;;-67;4,68;;-66;5,69;;-59;4,77;;-59;4,9;;-68;4,73;;-65;5,79;;-72;5,88
-52;4,64;;-67;4,61;;-66;4,3;;-59;4,45;;-56;4,4;;-68;5,34;;-65;4,75;;-72;5,55
-52;4,48;;-67;7,76;;-66;4,72;;-59;5,28;;-59;4,45;;-68;4,19;;-65;7,75;;-72;8,82
-52;4,1;;-67;3,93;;-66;4,88;;-59;5,44;;-58;4,46;;-68;5,36;;-66;3,99;;-71;5,76
-52;4,49;;-66;4,25;;-66;4,7;;-59;3,92;;-56;4,79;;-65;7,79;;-65;5,52;;-71;5,81
-53;4,52;;-65;4,17;;-66;6,83;;-59;4,63;;-59;7,52;;-65;4,08;;-65;6,83;;-68;7,72
-49;4,45;;-66;4,33;;-66;7,37;;-59;6,82;;-59;4,48;;-68;4,44;;-65;7,24;;-68;5,26
-48;4,7;;-67;13,1;;-66;5,34;;-59;7,03;;-59;4,25;;-65;4,85;;-65;8,04;;-71;7,96
