RSSI 5 metri;RTT 5 metri;;RSSI 10 metri;RTT 10 metri;;RSSI 15 metri;RTT 15 metri;;RSSI 20 metri;RTT 20 metri;;RSSI 25 metri;RTT  25 metri;;RSSI 30 metri ;RTT 30 metri;;RSSI  35 metri;RTT 35 metri;;RSSI 40 metri;RTT 40 metri
-53;4,51;;-66;4,69;;-68;7,01;;-60;4,49;;-59;5,3;;-68;4,8;;-64;3,97;;-66;4,78
-53;4,68;;-66;19,1;;-68;6,99;;-60;4,27;;-59;5,6;;-68;5,64;;-64;4,66;;-66;4,02
-53;4,18;;-66;5,42;;-68;8,49;;-60;4,7;;-59;5,48;;-68;4,21;;-64;4,1;;-66;7,02
-53;4,04;;-66;11;;-68;5,76;;-59;4,14;;-59;4,92;;-68;4,52;;-64;7,26;;-66;4,96
-52;4,87;;-66;4,66;;-66;5,55;;-59;4;;-59;5,86;;-68;4,81;;-64;4,68;;-66;4,85
-52;6,8;;-66;5,56;;-69;7,79;;-60;4,44;;-59;5,64;;-68;7,67;;-64;4,49;;-66;11
-52;7,69;;-66;6,2;;-66;5,6;;-60;4,32;;-59;4,97;;-65;3,98;;-65;6,61;;-66;4,05
-52;4,67;;-66;4,18;;-69;5,86;;-60;3,97;;-59;5,27;;-68;4,51;;-64;4,51;;-66;4,54
-52;4,63;;-66;6,11;;-66;4,9;;-60;4,76;;-59;5,87;;-68;7,19;;-64;4,1;;-66;4,69
-54;4,34;;-66;11,9;;-69;5,61;;-60;4,52;;-59;4,17;;-68;4,71;;-64;4,7;;-66;4,53
-53;4,14;;-65;3,92;;-69;8,42;;-60;4,85;;-59;4,92;;-68;4,18;;-64;4,65;;-66;5,68
-53;4,46;;-68;12,5;;-69;5,79;;-60;4,82;;-59;5,22;;-68;7,49;;-64;4,28;;-66;4,57
-53;4,66;;-63;11,2;;-69;5,37;;-59;4,73;;-59;4,93;;-68;4,7;;-64;4,57;;-66;4,58
-53;4,26;;-66;4,84;;-66;6,4;;-59;4,08;;-59;5;;-68;4,39;;-64;4,52;;-63;4,69
-53;4,87;;-65;6,61;;-66;5,38;;-60;4,49;;-59;5,23;;-68;5,93;;-64;4,81;;-66;4,11
-53;4,08;;-65;6,37;;-68;8,16;;-59;5,66;;-59;5,34;;-68;4,75;;-64;4,76;;-66;6,33
-53;4,87;;-65;8,2;;-68;5,03;;-59;7,7;;-59;5,79;;-68;4,13;;-64;4,83;;-66;4,81
-53;4,51;;-66;8,49;;-68;5,26;;-60;3,95;;-59;4,76;;-68;4,28;;-64;4,41;;-66;4,54
-52;7,72;;-67;16,4;;-68;6,9;;-59;6,73;;-59;4,98;;-68;4,69;;-64;4,22;;-66;4,78
-53;4,21;;-66;6,28;;-68;3,97;;-59;4,7;;-59;5,94;;-68;4,44;;-64;5,58;;-66;4,48
-53;4,49;;-67;4,49;;-68;5,38;;-59;4,33;;-59;5,17;;-68;4,35;;-64;4,31;;-66;4,47
-53;4,43;;-68;16,4;;-68;4,45;;-59;7,86;;-59;5,58;;-68;5,23;;-64;4,56;;-66;8,65
-53;8,49;;-68;14,9;;-68;4,32;;-59;4,77;;-59;4,61;;-68;4,2;;-64;4,45;;-66;4,74
-50;4,4;;-68;4,41;;-68;5,56;;-59;5,61;;-59;5,13;;-68;4,4;;-64;4,07;;-66;4,34
-52;4,65;;-68;12,9;;-68;5,67;;-59;4,01;;-59;4,82;;-67;7,16;;-64;5,79;;-67;4,68
-53;4,82;;-66;14;;-65;5,74;;-60;4,3;;-59;4,21;;-68;4,24;;-64;4,07;;-66;7,89
-53;4,69;;-68;11,1;;-68;4,47;;-59;4,35;;-59;4,3;;-68;4,8;;-64;6,16;;-66;4,67
-53;7,44;;-68;4,73;;-67;4,58;;-60;4,28;;-59;3,92;;-68;7,8;;-64;5,24;;-66;4,63
-53;4,59;;-68;14,3;;-68;4,61;;-60;7,29;;-59;7,03;;-68;4,5;;-64;4,64;;-66;4,65
-53;4,44;;-68;13,3;;-68;4,61;;-59;5,42;;-59;3,98;;-68;4,07;;-64;4,87;;-66;4,4
-53;4,56;;-68;11,9;;-68;4,64;;-59;4,7;;-59;3,94;;-68;4,86;;-64;4,94;;-66;4,69
-53;4,48;;-68;17,3;;-68;4,44;;-59;4,09;;-59;4,7;;-65;7,66;;-64;6,98;;-64;4,66
-53;7,71;;-68;8,47;;-68;4,23;;-59;4,19;;-59;6,85;;-65;3,96;;-64;4,94;;-64;4,48
-53;4,77;;-68;11,8;;-68;4,78;;-59;4,3;;-59;3,93;;-68;7,73;;-64;4,91;;-67;4,84
-53;4,18;;-68;4,87;;-68;4,01;;-59;4,48;;-59;7,58;;-65;7,55;;-64;6,58;;-67;4,65
-53;4,3;;-68;9,89;;-68;4,32;;-59;4,34;;-59;4,79;;-68;4,87;;-64;4,11;;-67;4,31
-53;4,22;;-68;8,22;;-68;7,84;;-59;4,38;;-59;4,73;;-68;4,39;;-64;6,15;;-65;6,09
-53;4,25;;-65;6,11;;-68;5,55;;-59;4,23;;-59;4,88;;-68;4,4;;-64;5,47;;-66;4,91
-54;7,92;;-68;11,4;;-68;4,1;;-59;3,97;;-59;4,69;;-67;4,42;;-64;5,75;;-66;5,06
-53;4,58;;-68;6,82;;-68;4,16;;-59;4,06;;-59;4,91;;-68;8,44;;-64;5,46;;-66;4,73
-54;4,24;;-68;6,53;;-67;7,4;;-59;3,96;;-59;4,19;;-68;3,95;;-64;4,99;;-66;3,95
-53;4,18;;-69;10,8;;-68;6,94;;-59;4,87;;-59;4,89;;-68;6,48;;-64;7,71;;-66;4,85
-51;5,99;;-69;10,3;;-68;4,43;;-59;4,18;;-60;7,7;;-68;4,77;;-64;5,32;;-66;4,02
-54;4,91;;-68;6,86;;-65;4,69;;-59;6,13;;-59;4,53;;-68;4,55;;-64;5,8;;-66;4,31
-54;7,42;;-68;6,16;;-65;4,39;;-59;6,45;;-59;4,82;;-68;4,58;;-64;5,57;;-66;4,32
