timestamp;position_id;client_id;rssi;snr;mcs;tx_retries
1773175356;4;1;-65;22;6;0
1773175357;4;1;-65;22;6;0
1773175359;4;1;-65;21;5;11
1773175360;4;1;-65;22;5;11
1773175362;4;1;-65;22;10;11
1773175363;4;1;-64;23;10;11
1773175364;4;1;-62;24;6;11
1773175366;4;1;-56;27;6;11
1773175367;4;1;-56;27;10;11
1773175369;4;1;-55;27;6;11
1773175370;4;1;-54;27;6;11
1773175371;4;1;-55;26;6;11
1773175373;4;1;-61;24;6;11
1773175377;4;1;-59;26;3;99
1773175378;4;1;-58;26;3;99
1773175380;4;1;-57;26;3;99
1773175381;4;1;-56;26;3;99
1773175382;4;1;-57;26;6;99
1773175384;4;1;-55;26;6;99
1773175385;4;1;-56;26;6;99
1773175386;4;1;-56;27;6;99
1773175388;4;1;-57;26;6;99
1773175389;4;1;-55;26;6;99
1773175391;4;1;-57;27;6;99
1773175392;4;1;-60;25;6;99
1773175393;4;1;-63;24;6;99
1773175395;4;1;-62;25;6;99
1773175396;4;1;-62;24;6;99
1773175398;4;1;-62;25;6;99
1773175399;4;1;-63;24;6;99
1773175400;4;1;-63;24;6;99
1773175402;4;1;-59;26;6;99
1773175403;4;1;-58;26;6;99
1773175404;4;1;-58;27;4;105
1773175406;4;1;-56;26;4;105
1773175407;4;1;-56;26;4;105
1773175409;4;1;-56;26;4;105
1773175410;4;1;-56;26;10;105
1773175411;4;1;-56;27;10;105
1773175413;4;1;-57;26;10;105
1773175414;4;1;-56;26;10;105
1773175415;4;1;-55;26;10;105
1773175417;4;1;-56;26;10;105
1773175418;4;1;-56;27;10;105
1773175420;4;1;-56;26;10;105
1773175421;4;1;-57;26;10;105
1773175422;4;1;-57;26;10;105
1773175424;4;1;-59;25;10;105
1773175425;4;1;-58;27;10;105
1773175426;4;1;-56;26;10;105
1773175428;4;1;-57;26;10;105
1773175429;4;1;-58;26;10;105
1773175431;4;1;-58;27;10;105
1773175432;4;1;-58;27;10;105
1773175433;4;1;-57;26;10;105
1773175435;4;1;-57;26;4;107
1773175436;4;1;-58;27;4;107
1773175438;4;1;-57;27;4;107
1773175439;4;1;-56;26;4;107
1773175440;4;1;-58;26;10;107
1773175442;4;1;-57;26;10;107
1773175443;4;1;-58;26;10;107
1773175444;4;1;-58;26;10;107
1773175446;4;1;-58;26;10;107
1773175447;4;1;-56;26;10;107
1773175449;4;1;-56;26;10;107
1773175450;4;1;-57;26;10;107
1773175451;4;1;-59;26;10;107
1773175453;4;1;-59;26;10;107
1773175454;4;1;-58;26;10;107
1773175456;4;1;-57;26;10;107
1773175457;4;1;-57;27;10;107
1773175458;4;1;-58;27;10;107
1773175460;4;1;-57;26;10;107
1773175461;4;1;-56;26;10;107
1773175462;4;1;-56;27;10;107
1773175464;4;1;-56;26;10;107
1773175465;4;1;-58;27;4;109
1773175467;4;1;-56;26;4;109
1773175468;4;1;-57;26;4;109
1773175469;4;1;-58;26;4;109
1773175471;4;1;-58;26;10;109
1773175472;4;1;-57;26;10;109
1773175473;4;1;-57;26;10;109
